,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
293,igarka,76,RU,1551053114,75,67.47,86.57,7.06,9.22
294,buy,80,RU,1551053115,96,58.48,41.53,30.5,11.79
295,plouzane,90,FR,1551051000,93,48.38,-4.62,48.2,2.24
296,aquiraz,0,BR,1551049200,83,-3.9,-38.39,78.8,2.84
297,sumbe,92,AO,1551053116,100,-11.2,13.84,79.42,6.98
298,matiari,0,PK,1551053117,82,25.6,68.45,57.14,2.95
299,melita,24,CA,1551053117,76,49.27,-100.98,-4.47,11.45
300,casas grandes,0,MX,1551053118,30,30.15,-110.24,63.67,2.17
301,saint-louis,0,CH,1551052200,79,47.59,7.56,41.0,1.12
302,airai,12,TL,1551053041,80,-8.93,125.41,77.66,0.94
303,vikhorevka,0,RU,1551051000,92,56.12,101.17,15.8,2.73
304,hasaki,75,JP,1551051780,81,35.73,140.83,53.6,8.05
305,galle,1,US,1551051300,34,29.74,-97.91,64.4,3.36
306,luhyny,20,UA,1551053120,88,51.08,28.4,28.57,11.79
307,kangaatsiaq,64,GL,1551053120,100,68.31,-53.46,14.89,11.68
308,statesboro,1,US,1551051300,28,32.45,-81.78,71.6,13.87
309,alyangula,76,AU,1551049200,70,-13.85,136.42,87.8,5.82
310,baruun-urt,0,MN,1551053122,63,46.68,113.28,6.83,7.76
311,beringovskiy,36,RU,1551053122,86,63.05,179.32,27.08,15.59
312,babu,36,CN,1551053123,87,23.23,104.89,46.48,2.39
313,santa rosa,88,AR,1551053124,22,-36.62,-64.29,69.43,15.37
314,bereda,0,ES,1551051000,87,43.27,-7.54,50.0,6.93
315,jaisalmer,20,IN,1551053125,59,26.91,70.91,52.33,4.29
316,porto novo,40,BR,1551049200,58,-23.68,-45.44,86.0,3.36
317,nantucket,90,US,1551051540,100,41.28,-70.1,44.6,12.75
318,santa maria,75,BR,1551049200,83,-29.69,-53.81,75.2,2.24
319,antofagasta,0,CL,1551049200,64,-23.65,-70.4,69.8,10.29
320,mildura,44,AU,1551049200,28,-34.18,142.16,80.6,13.87
321,tarifa,0,ES,1551051000,62,36.01,-5.6,59.0,23.04
322,hohhot,20,CN,1551049200,45,40.81,111.65,26.6,4.47
323,big rapids,90,US,1551051360,92,43.7,-85.48,26.6,18.34
324,vao,0,EE,1551053130,80,59.1,26.19,34.78,13.47
325,sitka,48,US,1551053130,59,37.17,-99.65,44.09,7.99
326,cabedelo,0,BR,1551049200,83,-6.97,-34.84,80.6,3.36
327,boa esperanca,56,BR,1551053131,78,-1.91,-60.0,78.65,3.96
328,kirovskiy,36,RU,1551053132,49,45.09,133.51,26.45,4.18
329,guanare,0,VE,1551053133,64,9.04,-69.74,78.56,4.41
330,drezdenko,0,PL,1551053134,77,52.84,15.83,29.83,6.98
331,port hardy,20,CA,1551049200,52,50.7,-127.42,42.8,5.82
332,bismarck,20,US,1551051300,64,46.81,-100.78,-0.41,17.22
333,dire dawa,0,ET,1551053135,85,9.59,41.86,53.77,2.28
334,ouesso,68,CG,1551053135,92,1.61,16.05,74.6,2.62
335,mount isa,12,AU,1551051000,54,-20.73,139.49,84.2,10.29
336,tibacuy,75,CO,1551049200,72,4.35,-74.45,59.0,8.05
337,bartica,20,GY,1551049200,73,6.41,-58.62,77.0,6.93
338,taltal,0,CL,1551052956,77,-25.41,-70.49,63.08,2.39
339,forest grove,1,US,1551051300,70,45.52,-123.11,44.6,4.7
340,doka,0,SD,1551053138,30,13.52,35.76,78.88,11.56
341,bjornevatn,75,NO,1551050400,84,69.67,29.98,35.6,21.92
342,leland,20,US,1551052320,67,41.61,-88.8,24.8,27.51
343,eyl,48,SO,1551052867,100,7.98,49.82,75.64,15.03
344,caravelas,0,BR,1551053139,99,-17.73,-39.27,84.05,16.04
345,waipawa,92,NZ,1551053040,93,-39.94,176.59,53.9,15.82
346,kargopol,92,RU,1551053141,96,61.51,38.95,32.48,10.0
347,qasigiannguit,48,GL,1551048600,56,68.82,-51.19,12.2,5.82
348,clonakilty,75,IE,1551051000,100,51.62,-8.87,46.4,13.87
349,maceio,0,BR,1551049200,83,-9.67,-35.74,78.8,4.7
350,gobabis,68,NA,1551053142,23,-22.45,18.97,74.96,11.34
351,shingu,20,JP,1551049200,76,33.72,135.99,50.0,6.93
352,komsomolskiy,92,RU,1551053143,78,67.55,63.78,14.93,7.2
353,ahipara,8,NZ,1551052798,76,-35.17,173.16,68.08,23.87
354,fehervarcsurgo,0,HU,1551050100,74,47.29,18.26,32.0,2.24
355,jalu,0,LY,1551053002,80,29.03,21.55,47.6,6.76
356,mugango,76,TZ,1551053145,100,-1.69,33.7,68.3,4.52
357,gustavo diaz ordaz,75,MX,1551048780,6,24.01,-104.69,75.2,5.82
358,piranhas,56,BR,1551053146,67,-9.61,-37.76,80.68,5.64
359,nome,1,US,1551051300,22,30.04,-94.42,69.8,8.05
360,pimenteiras,80,BR,1551053147,95,-6.24,-41.42,72.76,2.73
361,levelland,75,US,1551048780,19,33.59,-102.38,55.4,20.8
362,lindi,8,TZ,1551053147,95,-10.0,39.71,72.53,2.28
363,shaunavon,0,CA,1551053148,61,49.65,-108.41,-1.18,5.86
364,oranjemund,32,ZA,1551053148,96,-28.55,16.43,62.99,18.5
365,ocos,40,GT,1551049200,66,14.51,-92.19,87.8,6.93
366,mayumba,76,GA,1551053149,97,-3.44,10.65,80.18,4.41
367,mumford,12,GH,1551053149,88,5.26,-0.76,80.59,10.67
368,palmer,0,AU,1551049200,15,-34.85,139.16,87.8,11.41
369,te anau,0,NZ,1551052877,51,-45.41,167.72,53.32,2.95
370,mushie,36,CD,1551053150,91,-3.02,16.92,77.71,1.61
371,homer,40,US,1551052380,51,59.64,-151.54,39.2,8.05
372,leo,0,BF,1551053151,21,11.1,-2.1,71.0,9.22
373,jelenia gora,0,PL,1551053152,70,50.9,15.73,25.96,4.41
374,kilindoni,0,TZ,1551053152,100,-7.91,39.67,83.11,8.66
375,grand gaube,75,MU,1551049200,83,-20.01,57.66,80.6,4.7
376,hare bay,5,CA,1551049200,50,48.86,-53.99,8.6,11.41
377,amzya,80,RU,1551053154,83,56.24,54.39,14.26,5.64
378,perth,90,GB,1551052200,100,56.4,-3.43,39.2,5.82
379,nhulunbuy,40,AU,1551051000,62,-12.18,136.78,87.8,8.05
380,gualaceo,90,EC,1551049200,63,-2.89,-78.78,66.2,9.17
381,port blair,0,IN,1551053156,100,11.67,92.75,81.04,5.19
